slug,title,output_path,type
gc-4365b50502ef,사이프러스 골프앤리조트(퍼블릭),public/seo-images/courses/gc-4365b50502ef.png,course
gc-029535a99281,나인브릿지CC(회원제),public/seo-images/courses/gc-029535a99281.png,course
gc-41a0194846f8,핀크스GC(회원제),public/seo-images/courses/gc-41a0194846f8.png,course
gc-b825d1073c5d,핀크스GC(퍼블릭),public/seo-images/courses/gc-b825d1073c5d.png,course
gc-18f9f355721d,라데나골프클럽,public/seo-images/courses/gc-18f9f355721d.png,course
gc-669d8ad13333,엘리시안강촌CC,public/seo-images/courses/gc-669d8ad13333.png,course
gc-5acca8d60a68,제이드팰리스 골프클럽,public/seo-images/courses/gc-5acca8d60a68.png,course
gc-fa1419df8b1e,남춘천CC,public/seo-images/courses/gc-fa1419df8b1e.png,course
gc-3526f59318a4,휘슬링락CC,public/seo-images/courses/gc-3526f59318a4.png,course
gc-3ae54b5361c3,오너스GC,public/seo-images/courses/gc-3ae54b5361c3.png,course
gc-9e436bbbf364,세레니티강촌CC,public/seo-images/courses/gc-9e436bbbf364.png,course
gc-6b8298356e4e,로드힐스골프클럽,public/seo-images/courses/gc-6b8298356e4e.png,course
gc-a78a36b9d428,라비에벨CC,public/seo-images/courses/gc-a78a36b9d428.png,course
gc-d7a401a860d3,베어크리크 춘천,public/seo-images/courses/gc-d7a401a860d3.png,course
gc-920a66bac706,센추리21컨트리클럽,public/seo-images/courses/gc-920a66bac706.png,course
gc-52110494ceac,파크밸리골프클럽,public/seo-images/courses/gc-52110494ceac.png,course
gc-cbe46e8a03a2,인터불고원주골프클럽,public/seo-images/courses/gc-cbe46e8a03a2.png,course
gc-aca146079a3b,오로라 골프 앤 리조트,public/seo-images/courses/gc-aca146079a3b.png,course
gc-076abf5ece38,샌드파인GC,public/seo-images/courses/gc-076abf5ece38.png,course
gc-5b16502994d3,오투리조트CC,public/seo-images/courses/gc-5b16502994d3.png,course
gc-716535d8799a,설악프라자컨트리클럽,public/seo-images/courses/gc-716535d8799a.png,course
gc-d4f47a219511,영랑호컨트리클럽,public/seo-images/courses/gc-d4f47a219511.png,course
gc-5d96ff075544,파인밸리컨트리클럽,public/seo-images/courses/gc-5d96ff075544.png,course
gc-788ff880fb4f,블랙밸리컨트리클럽,public/seo-images/courses/gc-788ff880fb4f.png,course
gc-3447dbe87ddc,비콘힐스골프클럽,public/seo-images/courses/gc-3447dbe87ddc.png,course
gc-d7beeda963dd,힐드로사이컨트리클럽,public/seo-images/courses/gc-d7beeda963dd.png,course
gc-8322ca96ec3b,세이지우드CC홍천,public/seo-images/courses/gc-8322ca96ec3b.png,course
gc-690b34d2b582,샤인데일골프&리조트,public/seo-images/courses/gc-690b34d2b582.png,course
gc-568fcaa60a5e,카스카디아 골프클럽,public/seo-images/courses/gc-568fcaa60a5e.png,course
gc-bbf51fd6cc91,웰리힐리컨트리클럽,public/seo-images/courses/gc-bbf51fd6cc91.png,course
gc-e494f9e1ff69,동원썬밸리컨트리클럽,public/seo-images/courses/gc-e494f9e1ff69.png,course
gc-17aba5f4eb83,알프스대영컨트리클럽,public/seo-images/courses/gc-17aba5f4eb83.png,course
gc-43114c6913bc,벨라스톤컨트리클럽,public/seo-images/courses/gc-43114c6913bc.png,course
gc-535182f1f0fa,올데이 옥스필드,public/seo-images/courses/gc-535182f1f0fa.png,course
gc-908385d35939,동강시스타 골프장,public/seo-images/courses/gc-908385d35939.png,course
gc-98e23645d4c7,휘닉스 컨트리클럽,public/seo-images/courses/gc-98e23645d4c7.png,course
gc-716264430902,태기산 나인CC,public/seo-images/courses/gc-716264430902.png,course
gc-2b5762bfc60c,알펜시아컨트리클럽,public/seo-images/courses/gc-2b5762bfc60c.png,course
gc-88fd5807de80,알펜시아 700골프클럽,public/seo-images/courses/gc-88fd5807de80.png,course
gc-658a43bb77b8,하이원컨트리클럽,public/seo-images/courses/gc-658a43bb77b8.png,course
gc-57059262e040,한탄강컨트리클럽,public/seo-images/courses/gc-57059262e040.png,course
gc-af74a0cb154f,설악썬밸리컨트리클럽,public/seo-images/courses/gc-af74a0cb154f.png,course
gc-da4ac7ff9f91,소노펠리체 컨트리클럽 델피노,public/seo-images/courses/gc-da4ac7ff9f91.png,course
gc-4454a258c3a6,파인리즈컨트리클럽,public/seo-images/courses/gc-4454a258c3a6.png,course
