id,name,region,city,address,latitude,longitude,phone,homepage_url,booking_url,hole_count,course_type,weekday_green_fee_min,weekend_green_fee_min,caddie_fee,cart_fee,night_round,no_caddie,two_player_allowed,resort,tags,image_url,description,business_status,source,updated_at,created_at
gc-4454a258c3a6,파인리즈컨트리클럽,강원,고성군,고성군 토성면 잼버리동로 267,38.243216190298,128.537580723637,,,,27,대중제,,,,,false,false,false,false,{},,파인리즈컨트리클럽은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-318abdb864d5,설해원,강원,양양군,양양군 손양면 공항로 230,38.0555897450385,128.664155057919,,,,27,대중제,,,,,false,false,false,false,{},,설해원은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-67d0f65e6b2d,설해원더 레전드 코스,강원,양양군,양양군 손양면 공항로 230,38.0555897450385,128.664155057919,,,,18,대중제,,,,,false,false,false,false,{},,설해원더 레전드 코스은(는) 강원 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-9a7ff16abcee,한원컨트리클럽,경기,용인시,경기도 용인시 처인구 남사읍 전나무골길2번길 94,37.157103731538,127.13056142746,,,,27,회원제,,,,,false,false,false,false,{},,한원컨트리클럽은(는) 경기 지역의 회원제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-897c73dbf41b,양지파인골프클럽,경기,용인시,경기도 용인시 처인구 양지면 남평로 112,37.210689138288,127.29364692962,,,,27,대중제,,,,,false,false,false,false,{},,양지파인골프클럽은(는) 경기 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-38b838344176,수원컨트리클럽,경기,용인시,경기도 용인시 기흥구 중부대로 495,37.2813343609608,127.120332640766,,,,36,회원제,,,,,false,false,false,false,{},,수원컨트리클럽은(는) 경기 지역의 회원제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-4af8a2f8ed32,플라자CC,경기,용인시,경기도 용인시 처인구 남사읍 봉무로 153번길 79,37.1336283949433,127.14698226012,,,,36,회원제,,,,,false,false,false,false,{},,플라자CC은(는) 경기 지역의 회원제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-9da6f2a0f2d9,태광컨트리클럽(회원제),경기,용인시,경기도 용인시 기흥구 흥덕4로 77,37.2785734665911,127.089081801998,,,,27,회원제,,,,,false,false,false,false,{},,태광컨트리클럽(회원제)은(는) 경기 지역의 회원제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-3d63d3179c0f,태광컨트리클럽(대중제),경기,용인시,경기도 용인시 기흥구 흥덕4로 77,37.2785734665911,127.089081801998,,,,9,대중제,,,,,false,false,false,false,{},,태광컨트리클럽(대중제)은(는) 경기 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-c2ad879f8193,한성컨트리클럽,경기,용인시,경기도 용인시 기흥구 구교동로 151,37.3070400686232,127.12311440438,,,,27,회원제,,,,,false,false,false,false,{},,한성컨트리클럽은(는) 경기 지역의 회원제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
