id,name,price_text,price_min,price_max,price_type,difficulty,avg_score,source_url,confidence,needs_check,note
gc-60319bf1693c,인천그랜드CC,,220000,260000,green_fee,2.3,90.0,https://search.naver.com/search.naver?where=nexearch&query=%EC%9D%B8%EC%B2%9C%EA%B7%B8%EB%9E%9C%EB%93%9C%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,high,y,
gc-fa55dbc73e9b,베어즈베스트 청라GC,,,,unknown,,93.3,https://search.naver.com/search.naver?where=nexearch&query=%EB%B2%A0%EC%96%B4%EC%A6%88%EB%B2%A0%EC%8A%A4%ED%8A%B8%EC%B2%AD%EB%9D%BC%EA%B3%A8%ED%94%84%ED%81%B4%EB%9F%BD,high,y,
gc-781728826076,석모도컨트리클럽,,,,unknown,,93.0,https://search.naver.com/search.naver?where=nexearch&query=%EC%84%9D%EB%AA%A8%EB%8F%84%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,medium,y,
gc-496303f3c77c,오렌지듄스 영종골프클럽,,,,unknown,8.5,94.0,https://search.naver.com/search.naver?where=nexearch&query=%EC%98%A4%EB%A0%8C%EC%A7%80%EB%93%84%EC%8A%A4%20%EC%98%81%EC%A2%85%EA%B3%A8%ED%94%84%ED%81%B4%EB%9F%BD,high,y,
gc-868a31e611a3,강화 선두리 골프장,,,,unknown,1.8,89.0,https://search.naver.com/search.naver?where=nexearch&query=%EA%B0%95%ED%99%94%20%EC%84%A0%EB%91%90%EB%A6%AC%20%EA%B3%A8%ED%94%84%EC%9E%A5,high,y,
gc-043ae5d51851,베르힐CC 영종,"네이버 예약: 270,000원",270000,270000,reservation_price,8.2,93.0,https://search.naver.com/search.naver?where=nexearch&query=%EB%B2%A0%EB%A5%B4%ED%9E%90CC%20%EC%98%81%EC%A2%85,high,y,
gc-4c57c6fd7298,디오션CC,"네이버 예약: 215,000원",215000,215000,reservation_price,4.6,91.0,https://search.naver.com/search.naver?where=nexearch&query=%EB%94%94%EC%98%A4%EC%85%98CC,high,y,
gc-295d6bb19311,포라이즌,"네이버 예약: 204,000원",204000,204000,reservation_price,,,https://search.naver.com/search.naver?where=nexearch&query=%ED%8F%AC%EB%9D%BC%EC%9D%B4%EC%A6%8C,high,y,
gc-95d86b96417d,파인힐스CC,"네이버 예약: 125,000원; 135,000원; 155,000원",125000,155000,reservation_price,4.9,92.0,https://search.naver.com/search.naver?where=nexearch&query=%ED%8C%8C%EC%9D%B8%ED%9E%90%EC%8A%A4CC,high,y,
gc-a4b9d0a94686,순천부영CC,"네이버 예약: 160,000원",160000,160000,reservation_price,3.0,90.0,https://search.naver.com/search.naver?where=nexearch&query=%EC%88%9C%EC%B2%9C%EB%B6%80%EC%98%81CC,high,y,
gc-2042973e4c2d,나주힐스CC,,,,unknown,,,https://search.naver.com/search.naver?where=nexearch&query=%EB%82%98%EC%A3%BC%ED%9E%90%EC%8A%A4CC,high,y,
gc-e87bc5cc22aa,광양CC,,,,unknown,3.7,91.0,https://search.naver.com/search.naver?where=nexearch&query=%EA%B4%91%EC%96%91CC,high,y,
gc-1236a882f178,창평CC,,,,unknown,7.6,93.0,https://search.naver.com/search.naver?where=nexearch&query=%EC%B0%BD%ED%8F%89CC,high,y,
gc-98d4ad236944,레이나CC,,,,unknown,6.9,92.0,https://search.naver.com/search.naver?where=nexearch&query=%EB%A0%88%EC%9D%B4%EB%82%98CC,high,y,
gc-353e04416544,죽향CC,,,,unknown,6.6,92.0,https://search.naver.com/search.naver?where=nexearch&query=%EC%A3%BD%ED%96%A5CC,high,y,
gc-7be0893151f7,광주CC,,,,unknown,2.5,90.0,https://search.naver.com/search.naver?where=nexearch&query=%EA%B4%91%EC%A3%BCCC,high,y,
gc-39d4525a34c6,옥과기안CC,,,,unknown,,,https://search.naver.com/search.naver?where=nexearch&query=%EC%98%A5%EA%B3%BC%EA%B8%B0%EC%95%88CC,high,y,
gc-8c40f9db402e,르오네뜨CC,,,,unknown,5.9,92.0,https://search.naver.com/search.naver?where=nexearch&query=%EB%A5%B4%EC%98%A4%EB%84%A4%EB%9C%A8CC,high,y,
gc-496a04b9cf3f,보성CC,"네이버 예약: 105,280원; 150,400원",105280,150400,reservation_price,5.7,92.0,https://search.naver.com/search.naver?where=nexearch&query=%EB%B3%B4%EC%84%B1CC,high,y,
gc-2d39844d8485,보성에덴CC,,,,unknown,6.5,92.0,https://search.naver.com/search.naver?where=nexearch&query=%EB%B3%B4%EC%84%B1%EC%97%90%EB%8D%B4CC,high,y,
gc-658ae3503358,엘리체CC,,,,unknown,2.9,90.0,https://search.naver.com/search.naver?where=nexearch&query=%EC%97%98%EB%A6%AC%EC%B2%B4CC,high,y,
gc-ecd9077e6622,조아밸리CC,,,,unknown,3.1,90.0,https://search.naver.com/search.naver?where=nexearch&query=%EC%A1%B0%EC%95%84%EB%B0%B8%EB%A6%ACCC,high,y,
gc-e8468ec9b024,무등산CC,,,,unknown,3.4,91.0,https://search.naver.com/search.naver?where=nexearch&query=%EB%AC%B4%EB%93%B1%EC%82%B0CC,high,y,
gc-9885ff9a556f,JNJ골프리조트,"네이버 예약: 122,200원; 141,000원",122200,141000,reservation_price,5.2,92.0,https://search.naver.com/search.naver?where=nexearch&query=JNJ%EA%B3%A8%ED%94%84%EB%A6%AC%EC%A1%B0%ED%8A%B8,high,y,
gc-437ea8156737,파인비치골프링크스,"네이버 예약: 220,000원; 260,000원; 300,000원",220000,300000,reservation_price,6.2,92.0,https://search.naver.com/search.naver?where=nexearch&query=%ED%8C%8C%EC%9D%B8%EB%B9%84%EC%B9%98%EA%B3%A8%ED%94%84%EB%A7%81%ED%81%AC%EC%8A%A4,high,y,
gc-5b534d8afc35,솔라시도CC,"네이버 예약: 120,000원; 135,000원",120000,135000,reservation_price,2.3,90.0,https://search.naver.com/search.naver?where=nexearch&query=%EC%86%94%EB%9D%BC%EC%8B%9C%EB%8F%84CC,high,y,
gc-068d49f9d08c,아크로CC,"네이버 예약: 100,000원; 105,000원; 110,000원; 150,000원",100000,150000,reservation_price,3.0,90.0,https://search.naver.com/search.naver?where=nexearch&query=%EC%95%84%ED%81%AC%EB%A1%9CCC,high,y,
gc-138f4498623e,무안CC,,,,unknown,2.6,90.0,https://search.naver.com/search.naver?where=nexearch&query=%EB%AC%B4%EC%95%88CC,high,y,
