id,name,region,city,address,query,latitude,longitude,provider,confidence,matched_address,raw_place_name,status,note
gc-d7a401a860d3,베어크리크 춘천,강원,춘천시,춘천시 신동면 김유정로 730,강원특별자치도 춘천시 신동면 김유정로 730,37.76903936688,127.719301183153,kakao,80,강원특별자치도 춘천시 신동면 김유정로 730,,success,confidence=80; endpoint=https://dapi.kakao.com/v2/local/search/address.json; steps=1
gc-9a7cb8103191,오크밸리회원제골프장,강원,원주시,원주시 지정면 오크밸리1길 66,강원특별자치도 원주시 지정면 오크밸리1길 66,37.4343240018003,127.817512733666,kakao,80,강원특별자치도 원주시 지정면 오크밸리1길 66,,success,confidence=80; endpoint=https://dapi.kakao.com/v2/local/search/address.json; steps=1
gc-7b4833dc4475,월송리 컨트리클럽,강원,원주시,원주시 지정면 오크밸리2길 250,강원특별자치도 원주시 지정면 오크밸리2길 250,37.413907787106,127.822367179311,kakao,80,강원특별자치도 원주시 지정면 오크밸리2길 250,,success,confidence=80; endpoint=https://dapi.kakao.com/v2/local/search/address.json; steps=1
gc-40bd08295048,Oak Hills컨트리클럽,강원,원주시,원주시 지정면 오크밸리2길 58,강원특별자치도 원주시 지정면 오크밸리2길 58,37.4078166869562,127.808904182453,kakao,80,강원특별자치도 원주시 지정면 오크밸리2길 58,,success,confidence=80; endpoint=https://dapi.kakao.com/v2/local/search/address.json; steps=1
gc-3b9faaf01e87,성문안 컨트리클럽,강원,원주시,원주시 지정면 월송석화로 431,강원특별자치도 원주시 지정면 월송석화로 431,37.3945186687561,127.834946399203,kakao,80,강원특별자치도 원주시 지정면 월송석화로 431,,success,confidence=80; endpoint=https://dapi.kakao.com/v2/local/search/address.json; steps=1
gc-920a66bac706,센추리21컨트리클럽,강원,원주시,원주시 문막읍 궁말길 193,강원특별자치도 원주시 문막읍 궁말길 193,37.2814501148934,127.842416839704,kakao,80,강원특별자치도 원주시 문막읍 궁말길 193,,success,confidence=80; endpoint=https://dapi.kakao.com/v2/local/search/address.json; steps=1
gc-120fdf5098ca,센추리21컨트리클럽Ⅱ,강원,원주시,원주시 문막읍 궁말길 193,강원특별자치도 원주시 문막읍 궁말길 193,37.2814501148934,127.842416839704,kakao,80,강원특별자치도 원주시 문막읍 궁말길 193,,success,confidence=80; endpoint=https://dapi.kakao.com/v2/local/search/address.json; steps=1
gc-d2426892b3a5,센추리21퍼블릭,강원,원주시,원주시 문막읍 궁말길 193,강원특별자치도 원주시 문막읍 궁말길 193,37.2814501148934,127.842416839704,kakao,80,강원특별자치도 원주시 문막읍 궁말길 193,,success,confidence=80; endpoint=https://dapi.kakao.com/v2/local/search/address.json; steps=1
gc-52110494ceac,파크밸리골프클럽,강원,원주시,원주시 소초면 바우실길 281,강원특별자치도 원주시 소초면 바우실길 281,37.388890315126,128.013156594133,kakao,80,강원특별자치도 원주시 소초면 바우실길 281,,success,confidence=80; endpoint=https://dapi.kakao.com/v2/local/search/address.json; steps=1
gc-3eb069c5fb2a,동서울레스피아,강원,원주시,원주시 지정면 신평석화로 236,강원특별자치도 원주시 지정면 신평석화로 236,37.4008288189658,127.879409601494,kakao,80,강원특별자치도 원주시 지정면 신평석화로 236,,success,confidence=80; endpoint=https://dapi.kakao.com/v2/local/search/address.json; steps=1
